Date,2330.TW,NVDA,AMD
2019/4/3,228.569122,176.700119,26.370001
2019/4/8,234.596313,172.996887,25.969999
2019/4/9,235.52356,176.072952,25.690001
2019/4/10,235.52356,175.704636,24.889999
2019/4/11,233.669052,176.451263,25.059999
2019/4/12,233.669052,178.750839,25.52
2019/4/15,236.914459,181.458588,26.360001
2019/4/16,238.305344,182.175339,26.75
2019/4/17,242.477997,187.770035,29.02
2019/4/18,245.259796,187.411636,29.09
2019/4/19,245.259796,190.089523,28.98
2019/4/22,246.650681,190.925735,28.530001
2019/4/23,248.505157,188.40712,27.24
2019/4/24,249.432419,191.23436,27.83
2019/4/25,248.04155,190.676865,27.790001
2019/4/26,241.087112,189.153748,27.85
2019/4/29,240.623505,183.867661,27.33
2019/4/30,240.159882,187.361877,27.93
2019/5/2,240.159882,186.446014,27.49
2019/5/3,245.723434,185.46048,27.68
2019/5/6,240.159882,187.620697,28.18
2019/5/7,243.405243,189.810776,27.969999
2019/5/8,241.087112,190.308533,28.459999
2019/5/9,237.841705,186.067734,27.66
2019/5/10,237.378067,177.28746,27.879999
2019/5/13,232.278183,178.521896,27.690001
2019/5/14,230.423645,180.184357,27.629999
2019/5/15,230.887268,179.656754,26.809999
2019/5/16,229.032745,182.364487,28.290001
2019/5/17,223.932816,182.185303,28.219999
2019/5/20,220.687439,179.039551,27.42
2019/5/21,216.978394,172.329895,26.66
2019/5/22,220.687439,173.136261,27.09
2019/5/23,213.269379,169.42308,27.209999
2019/5/24,216.051163,168.05925,27.959999
2019/5/27,214.196625,157.735977,26.24
2019/5/28,213.733017,161.309814,27.32
2019/5/29,212.805771,158.860886,27.58
2019/5/30,214.196625,159.46814,28.01
2019/5/31,218.369293,155.824631,27.5
2019/6/3,220.687439,151.066177,26.68
2019/6/4,216.051163,154.361252,27.35
2019/6/5,217.90567,151.51413,27.41
2019/6/6,215.123886,146.656143,26.360001
2019/6/10,222.541946,144.495895,26.440001
2019/6/11,226.71463,142.684113,29.049999
2019/6/12,228.105499,139.707565,28.09
2019/6/13,222.541946,138.64119,28.030001
2019/6/14,218.832901,135.00351,27.41
2019/6/17,216.051163,133.329163,27.58
2019/6/18,218.369293,142.518097,29.57
2019/6/19,226.250992,140.803894,29.5
2019/6/20,227.178268,143.295471,31.82
2019/6/21,230.423645,145.009659,32.41
2019/6/24,230.902695,147.929779,33.23
2019/6/25,228.507446,150.241959,32.41
2019/6/26,224.675018,145.707291,32.18
2019/6/27,230.423645,147.760345,31.389999
2019/6/28,228.986511,144.152542,30.360001
2019/7/1,238.08847,144.541245,29.200001
2019/7/2,238.56752,152.364807,30.450001
2019/7/3,232.339859,152.603989,30.5
2019/7/4,233.777023,153.580673,30.01
2019/7/5,232.818924,151.248566,29.1
2019/7/8,232.339859,152.145523,29.26
2019/7/9,231.860809,150.969498,28.860001
2019/7/10,236.651321,158.723282,29.92
2019/7/11,239.525635,162.679916,30.74
2019/7/12,240.004684,163.676529,30.370001
2019/7/15,243.837082,165.610001,31.200001
2019/7/16,245.274246,161.683273,31.24
2019/7/17,241.441833,162.201538,31.190001
2019/7/18,243.358047,159.690033,31.5
2019/7/19,248.148544,156.680222,32.040001
2019/7/22,252.939072,156.779892,33.150002
2019/7/23,252.939072,159.520599,33.790001
2019/7/24,253.897156,165.71962,33.060001
2019/7/25,253.897156,167.045166,33.209999
2019/7/26,250.064758,166.706299,34.389999
2019/7/29,250.064758,166.516922,33.849998
2019/7/30,249.106659,169.138077,33.599998
2019/7/31,248.627609,169.606491,33
2019/8/1,245.753296,167.87236,32.509998
2019/8/2,240.962784,170.742645,32.849998
2019/8/5,236.172256,175.068008,33.490002
2019/8/6,238.08847,178.057922,34.110001
2019/8/7,237.609421,172.7957,33.669998
2019/8/8,242.878983,174.480026,34.02
2019/8/12,240.483734,174.230881,33.48
2019/8/13,236.172256,174.858734,33.869999
2019/8/14,239.046585,168.151382,30.450001
2019/8/15,237.609421,164.364227,29.860001
2019/8/16,239.525635,160.646805,29.440001
2019/8/19,241.441833,150.281815,27.99
2019/8/20,243.837082,151.836594,28.860001
2019/8/21,243.837082,153.371399,29.190001
2019/8/22,243.358047,157.726639,33.919998
2019/8/23,243.358047,153.6604,34.189999
2019/8/26,238.08847,150.939621,32.43
2019/8/27,239.525635,155.524109,32.110001
2019/8/28,241.441833,149.56427,30.24
2019/8/29,243.358047,148.268631,29.67
2019/8/30,248.148544,159.022293,31.18
2019/9/2,246.711395,170.204468,31.48
2019/9/3,243.358047,167.30426,30.719999
2019/9/4,246.711395,170.652954,31.700001
2019/9/5,251.980972,170.9021,31.9
2019/9/6,252.459991,161.892593,29.540001
2019/9/10,250.543808,164.89241,30.280001
2019/9/11,251.980972,161.254745,30.200001
2019/9/12,251.501953,160.835739,30.780001
2019/9/16,254.376205,166.601959,31.450001
2019/9/17,253.897156,167.110748,31.450001
2019/9/18,255.813416,163.778687,30.9
2019/9/19,255.813385,168.357742,30.950001
2019/9/20,254.848053,179.3116,31.5
2019/9/23,254.848053,178.224182,30.559999
2019/9/24,255.813385,180.069794,30.5
2019/9/25,256.778717,182.743393,30.23
2019/9/26,258.709381,183.890671,29.76
2019/9/27,262.570679,183.830811,30.209999
2019/10/1,270.293396,181.506363,30.690001
2019/10/2,269.810669,179.780472,30.83
2019/10/3,266.914673,180.638443,30.99
2019/10/4,266.914673,179.55101,30.42
2019/10/7,268.362701,176.51825,30.290001
2019/10/8,276.568024,172.278412,30.049999
2019/10/9,272.22406,174.423279,30.639999
2019/10/14,279.946716,172.11879,29.52
2019/10/15,283.325378,177.805191,29.540001
2019/10/16,286.221375,176.917313,29.469999
2019/10/17,283.325378,171.350616,28.719999
2019/10/18,282.842743,173.655121,28.99
2019/10/21,279.946716,173.585266,28.76
2019/10/22,283.808044,172.627563,28.309999
2019/10/23,282.842743,180.877853,28.68
2019/10/24,282.842743,181.536285,29.01
2019/10/25,283.325378,183.890671,28.93
2019/10/28,284.29071,176.807571,28.23
2019/10/29,288.152008,180.279297,28.459999
2019/10/30,289.117371,182.59375,28.379999
2019/10/31,288.152008,185.546707,29.75
2019/11/1,288.634735,186.085403,30.530001
2019/11/4,296.357391,195.901947,30.719999
2019/11/5,299.736053,193.747131,30.809999
2019/11/6,300.218689,193.826889,31.139999
2019/11/7,298.288025,190.03598,30.969999
2019/11/8,294.909363,195.542816,32.029999
2019/11/11,290.565399,195.143784,31.51
2019/11/12,294.426758,194.625,31.360001
2019/11/13,293.461395,196.390808,31.719999
2019/11/14,292.978699,204.052475,32.709999
2019/11/15,296.357391,206.297119,33.689999
2019/11/18,300.218689,202.436356,33.029999
2019/11/19,304.080048,202.516159,33.130001
2019/11/20,302.63208,200.540878,33.93
2019/11/21,300.218689,202.107147,34.889999
2019/11/22,298.288025,209.998276,36.290001
2019/11/25,296.357391,209.110397,36.150002
2019/11/26,296.357391,207.135117,35.93
2019/11/27,300.218689,207.84343,36.279999
2019/11/28,298.770721,207.28476,36.290001
2019/11/29,294.426758,207.683807,36.310001
2019/12/2,296.840057,209.110397,36.709999
2019/12/3,296.357391,208.072891,37.52
2019/12/4,295.392059,209.289978,38.349998
2019/12/5,301.184052,203.703323,38.560001
2019/12/6,302.149353,211.774033,39.880001
2019/12/9,305.04541,207.494263,41.290001
2019/12/10,302.63208,210.676651,40.98
2019/12/11,307.941406,209.679031,39.52
2019/12/12,320.008026,210.38736,39.150002
2019/12/13,327.248047,220.682755,39.790001
2019/12/16,324.352051,216.482788,38.990002
2019/12/17,333.040039,217.880493,39.41
2019/12/18,332.557373,216.382965,39.150002
2019/12/19,325.75061,208.905273,38.73
