Date,2454.TW,NVDA,AMD
2019/7/4,304.49054,153.580673,30.01
2019/7/5,306.399536,151.248566,29.1
2019/7/8,308.363647,152.145523,29.26
2019/7/9,307.87262,150.969498,28.860001
2019/7/10,312.29184,158.723282,29.92
2019/7/11,316.71106,162.679916,30.74
2019/7/12,312.29184,163.676529,30.370001
2019/7/15,308.854675,165.610001,31.200001
2019/7/16,308.363647,161.683273,31.24
2019/7/17,304.435455,162.201538,31.190001
2019/7/18,296.579041,159.690033,31.5
2019/7/19,299.03418,156.680222,32.040001
2019/7/22,302.962372,156.779892,33.150002
2019/7/23,308.854675,159.520599,33.790001
2019/7/24,302.471344,165.71962,33.060001
2019/7/25,307.381592,167.045166,33.209999
2019/7/26,307.87262,166.706299,34.389999
2019/7/29,313.273895,166.516922,33.849998
2019/7/30,319.657227,169.138077,33.599998
2019/7/31,308.854675,169.606491,33
2019/8/1,308.363647,167.87236,32.509998
2019/8/2,310.327759,170.742645,32.849998
2019/8/5,306.399536,175.068008,33.490002
2019/8/6,303.4534,178.057922,34.110001
2019/8/7,312.29184,172.7957,33.669998
2019/8/8,310.818756,174.480026,34.02
2019/8/12,317.202087,174.230881,33.48
2019/8/13,312.29184,174.858734,33.869999
2019/8/14,313.764923,168.151382,30.450001
2019/8/15,310.818756,164.364227,29.860001
2019/8/16,316.220032,160.646805,29.440001
2019/8/19,346.663574,150.281815,27.99
2019/8/20,344.699493,151.836594,28.860001
2019/8/21,340.771301,153.371399,29.190001
2019/8/22,338.80719,157.726639,33.919998
2019/8/23,336.352051,153.6604,34.189999
2019/8/26,336.843079,150.939621,32.43
2019/8/27,339.298218,155.524109,32.110001
2019/8/28,359.430237,149.56427,30.24
2019/8/29,358.939209,148.268631,29.67
2019/8/30,360.90332,159.022293,31.18
2019/9/2,363.849457,170.204468,31.48
2019/9/3,357.466125,167.30426,30.719999
2019/9/4,358.448181,170.652954,31.700001
2019/9/5,360.90332,170.9021,31.9
2019/9/6,367.777649,161.892593,29.540001
2019/9/10,371.214844,164.89241,30.280001
2019/9/11,367.777649,161.254745,30.200001
2019/9/12,368.268677,160.835739,30.780001
2019/9/16,375.143036,166.601959,31.450001
2019/9/17,376.125092,167.110748,31.450001
2019/9/18,375.143036,163.778687,30.9
2019/9/19,373.669952,168.357742,30.950001
2019/9/20,379.562256,179.3116,31.5
2019/9/23,381.035339,178.224182,30.559999
2019/9/24,380.053284,180.069794,30.5
2019/9/25,373.178925,182.743393,30.23
2019/9/26,369.250732,183.890671,29.76
2019/9/27,362.376373,183.830811,30.209999
2019/10/1,369.74176,181.506363,30.690001
2019/10/2,365.32254,179.780472,30.83
2019/10/3,372.687897,180.638443,30.99
2019/10/4,378.5802,179.55101,30.42
2019/10/7,377.107117,176.51825,30.290001
2019/10/8,377.598145,172.278412,30.049999
2019/10/9,365.32254,174.423279,30.639999
2019/10/14,363.849457,172.11879,29.52
2019/10/15,360.412292,177.805191,29.540001
2019/10/16,353.537933,176.917313,29.469999
2019/10/17,364.340485,171.350616,28.719999
2019/10/18,363.358429,173.655121,28.99
2019/10/21,362.376373,173.585266,28.76
2019/10/22,364.831512,172.627563,28.309999
2019/10/23,365.32254,180.877853,28.68
2019/10/24,374.652008,181.536285,29.01
2019/10/25,372.196869,183.890671,28.93
2019/10/28,380.053284,176.807571,28.23
2019/10/29,385.945587,180.279297,28.459999
2019/10/30,389.382751,182.59375,28.379999
2019/10/31,400.676331,185.546707,29.75
2019/11/1,397.730164,186.085403,30.530001
2019/11/4,404.604523,195.901947,30.719999
2019/11/5,417.371185,193.747131,30.809999
2019/11/6,426.209625,193.826889,31.139999
2019/11/7,417.371185,190.03598,30.969999
2019/11/8,406.568634,195.542816,32.029999
2019/11/11,396.257111,195.143784,31.51
2019/11/12,402.640442,194.625,31.360001
2019/11/13,400.676331,196.390808,31.719999
2019/11/14,403.131439,204.052475,32.709999
2019/11/15,414.425018,206.297119,33.689999
2019/11/18,411.96991,202.436356,33.029999
2019/11/19,413.442963,202.516159,33.130001
2019/11/20,407.059662,200.540878,33.93
2019/11/21,399.694275,202.107147,34.889999
2019/11/22,403.622467,209.998276,36.290001
2019/11/25,410.987854,209.110397,36.150002
2019/11/26,412.460938,207.135117,35.93
2019/11/27,414.916046,207.84343,36.279999
2019/11/28,423.754486,207.28476,36.290001
2019/11/29,413.93399,207.683807,36.310001
2019/12/2,409.023743,209.110397,36.709999
2019/12/3,410.496826,208.072891,37.52
2019/12/4,416.880157,209.289978,38.349998
2019/12/5,412.460938,203.703323,38.560001
2019/12/6,407.55069,211.774033,39.880001
2019/12/9,418.844238,207.494263,41.290001
2019/12/10,417.371185,210.676651,40.98
2019/12/11,421.299377,209.679031,39.52
2019/12/12,419.826294,210.38736,39.150002
2019/12/13,424.736542,220.682755,39.790001
2019/12/16,434.06601,216.482788,38.990002
2019/12/17,452.233948,217.880493,39.41
2019/12/18,448.305756,216.382965,39.150002
2019/12/19,446.341644,208.905273,38.73
2019/12/20,437.994232,207.317917,38.900002
2019/12/23,440.940369,209.074997,39.689999
2019/12/24,437.012177,208.396118,39.619999
2019/12/25,443.886505,211.82048,39.630001
2019/12/26,440.940369,211.82048,38.93
2019/12/27,438.48526,213.627502,39.439999
2019/12/30,438.48526,216.981964,39.470001
2019/12/31,435.539093,223.700897,42.59
2020/1/2,433.574982,223.621002,41.150002
2020/1/3,426.700653,224.779083,42.349998
2020/1/6,416.38913,227.913895,42.77
2020/1/7,418.35321,229.131897,42.299999
2020/1/8,422.772461,235.072113,42.830002
2020/1/9,429.155762,238.975662,44.150002
2020/1/10,424.245514,238.42659,45.459999
2020/1/13,414.425018,238.226913,46.540001
2020/1/14,408.532715,238.795975,46.630001
2020/1/15,408.532715,236.479767,46.18
2020/1/16,413.442963,231.937271,45.52
2020/1/17,412.951965,234.912384,45.860001
2020/1/20,411.478882,239.514771,49.099998
2020/1/30,376.616119,235.681122,48.599998
2020/1/31,381.035339,236.669479,48.389999
2020/2/3,375.143036,239.534729,48.25
2020/2/4,383.490448,239.984009,47.830002
2020/2/5,374.16098,242.619659,48.970001
2020/2/6,375.143036,243.917511,48.169998
2020/2/7,374.16098,251.56488,48.75
2020/2/10,373.178925,246.872635,48.209999
2020/2/11,382.99942,245.165436,48.549999
2020/2/12,394.292999,248.519913,49.77
